unique(Master_Bacteria_Raw$species);Total_Aquatic;Aquatic_Waste_Water;Aquatic_River;Aquatic_Marine;Aquatic_Sea;Aquatic_Sediment;Aquatic_Lake;Aquatic_Ocean;Aquatic_Reservoir;Aquatic_Estuary;Aquatic_Groundwater;Aquatic_Ice;Aquatic_Brine;Aquatic_Unknown;Total_Soil;Soil_Farm;Soil_Field;Soil_Forest;Soil_Agricultural;Soil_Peatland;Soil_Paddy;Soil_Desert;Soil_Tundra;Soil_Unknown;Total_Animal;Animal_Human;Animal_Mouse;Animal_Rat;Animal_Pig;Animal_Dog;Animal_Bird;Animal_Cattle;Animal_Sheep;Animal_Cat;Animal_Goat;Animal_Macaque;Animal_Fish;Animal_Horse;Animal_Fly;Animal_Mosquito;Animal_Termite;Animal_Bee;Animal_Tick;Animal_Baboon;Animal_Bat;Animal_Hamster;Animal_Chimpanzee;Animal_Whale;Animal_Bumblebee;Animal_Roe;Animal_Gorilla;Animal_Tadpole;Animal_Swallow;Animal_Sparrow;Animal_Shark;Animal_Seagull;Animal_Pigeon;Animal_Unknown;Total_Plant;Plant_Rhizosphere;Plant_Leaf;Plant_Stem;Plant_Wood;Plant_Seed;Plant_Flower;Plant_Sprout;Plant_Unknown;Total_Unknown;Unknown_Unknown;MA_Status;Soil_Shrub;Animal_Dolphin;Animal_Fruitfly;Animal_Stork;Animal_Eagle
Sporotomaculum syntrophicum;9.93;5.78;0.25;0.0;0.05;0.86;0.25;0.0;0.0;0.0;0.15;0.0;0.0;2.58;28.2;0.66;1.27;0.15;1.11;0.0;0.61;0.05;0.0;24.3;5.78;1.67;0.05;0.05;0.3;0.15;0.0;1.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05;0.0;0.0;0.0;0.0;2.18;3.09;0.66;0.0;0.0;0.05;0.25;0.0;0.0;2.13;53.0;53.0;Found;0.0;0.0;0.0;0.0;0.0
Aurantimonas coralicida;31.9;0.9;0.42;7.71;4.88;1.32;0.99;1.37;0.07;0.4;0.26;0.04;0.05;13.5;14.5;0.72;0.94;1.11;0.47;0.03;0.06;0.26;0.09;10.8;11.7;3.28;0.43;0.05;0.4;0.87;0.27;0.21;0.11;0.01;0.02;0.01;0.4;0.02;0.0;0.25;0.01;0.07;0.13;0.01;0.03;0.0;0.0;0.01;0.0;0.0;0.0;0.0;0.09;0.01;0.03;0.0;0.0;4.99;6.27;1.58;1.1;0.23;0.07;0.33;0.03;0.0;2.94;35.6;35.6;Found;0.0;0.0;0.0;0.0;0.0
Nocardia otitidiscaviarum;9.76;1.91;0.41;0.0;0.15;1.03;0.05;0.05;0.05;0.41;1.5;0.0;0.0;4.18;21.0;0.67;1.65;0.93;0.62;0.0;1.86;0.26;0.05;14.9;18.9;8.73;0.46;0.0;0.41;0.57;0.26;0.15;0.0;0.0;0.98;0.0;0.15;0.0;0.05;0.15;0.05;0.0;0.46;0.05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.35;4.91;1.65;0.21;0.0;0.05;0.0;0.0;0.0;3.0;45.5;45.5;Found;0.0;0.0;0.0;0.0;0.0
Desulfuromonas sp. DDH964;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Pasteurellaceae bacterium RH1A;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;No Hits;0.0;0.0;0.0;0.0;0.0
Thermogemmatispora tikiterensis;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;No Hits;0.0;0.0;0.0;0.0;0.0
Novimethylophilus kurashikiensis;16.1;1.46;3.24;0.16;0.31;2.1;1.03;0.07;0.06;0.21;0.47;0.02;0.0;6.94;22.9;2.18;2.33;0.9;1.17;0.09;1.2;0.1;0.08;14.8;5.56;2.51;0.19;0.04;0.14;0.17;0.17;0.11;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.06;0.02;0.02;0.02;0.0;0.02;0.0;0.0;0.0;0.02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.86;7.15;4.8;0.13;0.02;0.0;0.03;0.01;0.0;2.16;48.3;48.3;Found;0.01;0.0;0.0;0.0;0.0
Neorhizobium sp. NCHU2750;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Limnohabitans sp. Hippo4;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Limnohabitans sp. Jir61;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
uncultured Sphingobacterium sp.;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Candidatus Marithrix sp. Canyon 246;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Delftia sp. GW456-R20;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Achromobacter sp. MYb9;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Ochrobactrum sp. MYb71;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Microbacterium sp. H83;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Rheinheimera sp. SA_1;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Brevundimonas sp. GW460-12-10-14-LB2;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Mesorhizobium sp. YM1C-6-2;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Streptomyces sp. me109;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Streptomyces sp. wa22;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Dolichospermum sp. LEGE 00246;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Nostoc sp. LEGE 12447;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Nostoc sp. LEGE 12450;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Oculatella sp. LEGE 06141;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Tychonema sp. LEGE 06208;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Tychonema sp. LEGE 07196;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Tychonema sp. LEGE 07203;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
aff. Roholtiella sp. LEGE 12411;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Rhodococcus sp. (in: high G+C Gram-positive bacteria);12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Mycobacterium sp. 1081908.1;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Mycobacterium sp. 1164985.4;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Mycobacterium sp. 1165178.9;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Mycobacterium sp. 1245111.1;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Mycobacterium sp. 1274756.6;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Mycobacterium sp. 1274761.0;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Mycobacterium sp. 1465703.0;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Mycobacterium sp. 852002-10029_SCH5224772;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Mycobacterium sp. 852002-40037_SCH5390672;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Mycobacterium sp. 852002-50816_SCH5313054-b;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Mycobacterium sp. 852002-51057_SCH5723018;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Mycobacterium sp. 852002-51152_SCH6134967;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
